States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato,Date,Season
Tamil Nadu,3275,2835,2496.67,7500,6600,8750,6200,5400,4315,,14112.25,,8811.75,,9120,7011,4500,,1562.5,1300,1200,2225,27-02-2016,3
Tamil Nadu,3126.6,2736,2525,5580,6510,6620,6770,5000,3690,,12840.6,,8698.4,,9054.2,7172.6,4580,,1500,1380,1560,660,28-02-2016,3
Tamil Nadu,3080,2960,2940,6260,8060,7640,7740,5820,3462,,14004,10000,8001,,9559.8,7097.2,4280,,1602,1620,980,1000,29-02-2016,3
Tamil Nadu,2411,2640,2324.25,5940,11425,13110,8260,6700,3700,,12504,,7950.6,,9000.2,6623,3667,,1530,1740,1180,760,01-03-2016,3
Tamil Nadu,3275,2810,2533.33,7625,6850,9325,6725,5700,4285,,14250,,8701.75,,9065,6749.25,4375,,1562.5,1375,1050,2025,02-03-2016,3
Tamil Nadu,3040,2672,2525,5330,6440,6460,6760,4900,3468,,12884.4,,8940.4,,9153,7854,4540,,1500,1560,1160,940,03-03-2016,3
Tamil Nadu,3080,2960,2900,6130,8020,7420,7590,5508,3446,,13867.2,9750,8025,,9447.6,6753,4336.6,,1584,1660,1000,1660,04-03-2016,3
Tamil Nadu,2305,2637.5,2372.5,7200,13375,16550,8575,7350,3965,,14067,,7921.5,,9025.25,6873.25,4093.75,,1525,1875,1275,2775,05-03-2016,3
Tamil Nadu,3165,2785,2600,7712.5,6825,9425,6775,5400,4215,,14422.75,,8639.5,,9065,6428,4425,,1562.5,1400,900,725,06-03-2016,3
Tamil Nadu,3100,2660,2525,5140,6260,6450,6660,4750,3080,,13120.4,,8933.2,,9216,8171.4,4440,,1500,1980,1000,880,07-03-2016,3
Tamil Nadu,3110,2930,2920,6330,8130,7680,7860,5548,3572,,14140.6,9750,7650,,9542,6722.2,4200,,1594,1800,1140,3140,08-03-2016,3
Tamil Nadu,2484,2650,2390,7585,12280,15840,8200,7200,3874,,14346.2,,8253.6,,9066.2,6832.6,4369,,1530,2020,1180,3920,09-03-2016,1
Tamil Nadu,3175,2740,2533.33,7475,6025,8900,6525,5000,4180,,14395.25,,8667,,8900.75,6593,4675,,1537.5,1450,1125,1150,10-03-2016,1
Tamil Nadu,3090,2670,2525,4980,6260,6530,6740,4750,3094,,13411.8,,8911,,9362,8293,4480,,1500,2040,1060,1240,11-03-2016,1
Tamil Nadu,3170,2942,2920,6330,8620,8380,8300,5608,3598,,14780,9500,7656,,9573,6695.4,4313.4,,1587.5,1940,1500,4170,12-03-2016,1
Tamil Nadu,2482,2694,2442.5,8740,12160,15440,7920,7350,3890,,14839.6,,8231.6,,9054.2,6655.2,4252,,1530,2020,1260,2220,13-03-2016,1
Tamil Nadu,3335,2725,2403.33,7300,5775,8387.5,6112.5,5000,4147.5,,13841.5,,8716.5,,8870.75,6418.5,4700,,1487.5,1425,1075,4175,14-03-2016,1
Tamil Nadu,3210,2692,2515,4920,6240,6670,6670,4800,3624,,13324.2,,9090.4,,9607.8,8171.8,4360,,1500,2040,1400,1480,15-03-2016,1
Tamil Nadu,3370,2942,3084,6400,8760,8640,8460,5640,3560,,14859.2,9500,7673.6,,9477,6653.2,4370,,1587.5,1920,1820,2840,16-03-2016,1
Tamil Nadu,2504,2720,2455,10200,11730,14120,7400,7600,3926,,15136.8,,8158.4,,9023.4,6456.8,4299,,1540,2100,1220,1000,17-03-2016,1
Tamil Nadu,3333.2,2715,2533.33,7140,5660,7740,5900,4650,4068,,13962.4,,8445.6,,8791,6150.8,4780,,1510,1340,1560,4040,18-03-2016,1
Tamil Nadu,3170,2760,2687.5,5710,6320,6540,6720,5093.33,3694,,13504.25,,8808.25,,9917.5,8154.5,4500,,1500,2280,1760,1220,19-03-2016,1
Tamil Nadu,3400,3012.5,3110,6350,8425,8425,8275,5800,3502.5,,14969.75,,7594.75,,9575,6697.25,4291.75,,1645,1950,1925,2600,20-03-2016,1
Tamil Nadu,2500,2720,2527.5,9280,9900,12410,6710,6850,3908,,15236,,8401.6,,9067,7307,4816,,1540,2060,1140,620,21-03-2016,1
Tamil Nadu,3374.25,2775,2700,7475,6275,8275,6400,4800,4080,,14323,9600,8193.5,,8827.67,6648,5162.5,,1562.5,1550,2500,3025,22-03-2016,1
