group,variable,value
Sikkim,Sunflower Oil (Packed),13000.0
Sikkim,Gur,6000.0
Sikkim,Tea Loose,32000.0
Sikkim,Salt Pack (Iodised),1666.0
Sikkim,Potato,3200.0
Sikkim,Onion,5000.0
Sikkim,Tomato,7000.0
Tamil Nadu,Rice,5304.76
Tamil Nadu,Wheat,4038.24
Tamil Nadu,Atta (Wheat),4763.71
Tamil Nadu,Gram Dal,9370.59
Tamil Nadu,Tur/Arhar Dal,16447.06
Tamil Nadu,Urad Dal,12870.59
Tamil Nadu,Moong Dal,11188.24
Tamil Nadu,Masoor Dal,8157.69
Tamil Nadu,Sugar,4161.18
Tamil Nadu,Milk @,5350.0
Tamil Nadu,Groundnut Oil (Packed),19211.12
Tamil Nadu,Mustard Oil (Packed),15818.86
Tamil Nadu,Vanaspati (Packed),11931.0
Tamil Nadu,Sunflower Oil (Packed),11013.88
Tamil Nadu,Palm Oil (Packed),9105.69
Tamil Nadu,Gur,5100.76
Tamil Nadu,Tea Loose,27916.67
Tamil Nadu,Salt Pack (Iodised),2152.67
Tamil Nadu,Potato,4211.76
Tamil Nadu,Onion,4625.0
Tamil Nadu,Tomato,1738.24
Telangana,Rice,5050.0
Telangana,Wheat,3600.0
Telangana,Atta (Wheat),4050.0
Telangana,Gram Dal,8000.0
Telangana,Tur/Arhar Dal,15150.0
Telangana,Urad Dal,12050.0
Telangana,Moong Dal,10850.0
Telangana,Masoor Dal,8150.0
Telangana,Sugar,3625.0
Telangana,Milk @,5500.0
Telangana,Groundnut Oil (Packed),14350.0
Telangana,Mustard Oil (Packed),13750.0
Telangana,Vanaspati (Packed),9050.0
Telangana,Soya Oil (Packed),9700.0
Telangana,Sunflower Oil (Packed),10350.0
Telangana,Palm Oil (Packed),8450.0
Telangana,Gur,4250.0
Telangana,Tea Loose,27000.0
Telangana,Salt Pack (Iodised),1650.0
Telangana,Potato,3300.0
Telangana,Onion,3300.0
Telangana,Tomato,2000.0
Tripura,Rice,3350.0
Tripura,Atta (Wheat),3400.0
Tripura,Tur/Arhar Dal,17000.0
Tripura,Urad Dal,11900.0
Tripura,Moong Dal,10500.0
Tripura,Masoor Dal,9100.0
Tripura,Sugar,4450.0
